gene_name	ensembl_gene_id
S100A7	ENSG00000143556
SALL4	ENSG00000101115
SAV1	ENSG00000151748
SBDS	ENSG00000126524
SCAI	ENSG00000173611
SDC4	ENSG00000124145
SDHA	ENSG00000073578
SDHAF2	ENSG00000167985
SDHB	ENSG00000117118
SDHC	ENSG00000143252
SDHD	ENSG00000204370
SEC24D	ENSG00000150961
SEC31A	ENSG00000138674
SEMG2	ENSG00000124157
Sep/05	ENSG00000184702
Sep/06	ENSG00000125354
Sep/09	ENSG00000184640
SET	ENSG00000119335
SETBP1	ENSG00000152217
SETD1B	ENSG00000139718
SETD2	ENSG00000181555
SETDB1	ENSG00000143379
SF3A3	ENSG00000183431
SF3B1	ENSG00000115524
SF3B3	ENSG00000189091
SFPQ	ENSG00000116560
SFRP4	ENSG00000106483
SGCZ	ENSG00000185053
SGK1	ENSG00000118515
SH2B3	ENSG00000111252
SH3GL1	ENSG00000141985
SHFM1	ENSG00000127922
SHMT1	ENSG00000176974
SIN3A	ENSG00000169375
SIRPA	ENSG00000198053
SIX1	ENSG00000126778
SIX2	ENSG00000170577
SKI	ENSG00000157933
SLC22A18	ENSG00000110628
SLC34A2	ENSG00000157765
SLC45A3	ENSG00000158715
SLCO1B1	ENSG00000134538
SLX4	ENSG00000188827
SMAD2	ENSG00000175387
SMAD3	ENSG00000166949
SMAD4	ENSG00000141646
SMARCA1	ENSG00000102038
SMARCA4	ENSG00000127616
SMARCB1	ENSG00000099956
SMARCD1	ENSG00000066117
SMARCE1	ENSG00000073584
SMC1A	ENSG00000072501
SMC3	ENSG00000108055
SMO	ENSG00000128602
SMTNL2	ENSG00000188176
SMURF2	ENSG00000108854
SND1	ENSG00000197157
SNX29	ENSG00000048471
SOCS1	ENSG00000185338
SOS1	ENSG00000115904
SOS2	ENSG00000100485
SOX17	ENSG00000164736
SOX2	ENSG00000181449
SOX21	ENSG00000125285
SOX4	ENSG00000124766
SOX9	ENSG00000125398
SPATA31A7	ENSG00000276040
SPECC1	ENSG00000128487
SPEN	ENSG00000065526
SPOP	ENSG00000121067
SPRED1	ENSG00000166068
SPRR3	ENSG00000163209
SPTAN1	ENSG00000197694
SRC	ENSG00000197122
SRGAP1	ENSG00000196935
SRGAP3	ENSG00000196220
SRSF2	ENSG00000161547
SRSF3	ENSG00000112081
SS18	ENSG00000141380
SS18L1	ENSG00000184402
SSX1	ENSG00000126752
SSX2	ENSG00000241476
STAG1	ENSG00000118007
STAG2	ENSG00000101972
STARD13	ENSG00000133121
STAT3	ENSG00000168610
STAT5B	ENSG00000173757
STAT6	ENSG00000166888
STIL	ENSG00000123473
STIP1	ENSG00000168439
STK11	ENSG00000118046
STK4	ENSG00000101109
STRA13	ENSG00000134107
STRN	ENSG00000115808
STS	ENSG00000101846
SUFU	ENSG00000107882
SUV39H1	ENSG00000101945
SUZ12	ENSG00000178691
SVEP1	ENSG00000165124
SYK	ENSG00000165025
SYNCRIP	ENSG00000135316
TAF1	ENSG00000147133
TAL1	ENSG00000162367
TAL2	ENSG00000186051
TAOK1	ENSG00000160551
TAOK2	ENSG00000149930
TBL1XR1	ENSG00000177565
TBX3	ENSG00000135111
TCEA1	ENSG00000187735
TCF12	ENSG00000140262
TCF3	ENSG00000071564
TCF4	ENSG00000196628
TCF7L2	ENSG00000148737
TCL1A	ENSG00000100721
TEC	ENSG00000135605
TENM1	ENSG00000009694
TERT	ENSG00000164362
TET1	ENSG00000138336
TET2	ENSG00000168769
TFDP1	ENSG00000198176
TFDP2	ENSG00000114126
TFE3	ENSG00000068323
TFEB	ENSG00000112561
TFG	ENSG00000114354
TFPT	ENSG00000105619
TFRC	ENSG00000072274
TG	ENSG00000042832
TGFBR1	ENSG00000106799
TGFBR2	ENSG00000163513
TGIF1	ENSG00000177426
THRAP3	ENSG00000054118
TJP1	ENSG00000104067
TJP2	ENSG00000119139
TLX1	ENSG00000107807
TLX3	ENSG00000164438
TMEM127	ENSG00000135956
TMEM30A	ENSG00000112697
TMPRSS2	ENSG00000184012
TNC	ENSG00000041982
TNFAIP3	ENSG00000118503
TNFRSF14	ENSG00000157873
TNFRSF17	ENSG00000048462
TNFSF10	ENSG00000121858
TNPO1	ENSG00000083312
TNPO2	ENSG00000105576
TOM1	ENSG00000100284
TOP1	ENSG00000198900
TOP2A	ENSG00000131747
TOPBP1	ENSG00000163781
TP53	ENSG00000141510
TP53BP1	ENSG00000067369
TP63	ENSG00000073282
TPM3	ENSG00000143549
TPM4	ENSG00000167460
TPMT	ENSG00000137364
TPR	ENSG00000047410
TRAF3	ENSG00000131323
TRAF5	ENSG00000082512
TRAF7	ENSG00000131653
TRERF1	ENSG00000124496
TRIM24	ENSG00000122779
TRIM27	ENSG00000204713
TRIM33	ENSG00000197323
TRIM51	ENSG00000124900
TRIO	ENSG00000038382
TRIP10	ENSG00000125733
TRIP11	ENSG00000100815
TRRAP	ENSG00000196367
TSC1	ENSG00000165699
TSC2	ENSG00000103197
TSHR	ENSG00000165409
TYMS	ENSG00000176890
U2AF1	ENSG00000160201
UBC	ENSG00000150991
UBE2T	ENSG00000077152
UBR5	ENSG00000104517
UGT1A8	ENSG00000242366
UIMC1	ENSG00000087206
UPF3B	ENSG00000125351
USP22	ENSG00000124422
USP28	ENSG00000048028
USP32	ENSG00000170832
USP44	ENSG00000136014
USP6	ENSG00000129204
USP8	ENSG00000138592
VAV1	ENSG00000141968
VEGFA	ENSG00000112715
VHL	ENSG00000134086
VIM	ENSG00000026025
VTI1A	ENSG00000151532
WAS	ENSG00000015285
WASF3	ENSG00000132970
WHSC1	ENSG00000109685
WHSC1L1	ENSG00000147548
WIF1	ENSG00000156076
WIPF1	ENSG00000115935
WNK1	ENSG00000060237
WNK2	ENSG00000165238
WNT5A	ENSG00000114251
WRAP53	ENSG00000141499
WRN	ENSG00000165392
WT1	ENSG00000184937
WWC3	ENSG00000047644
WWOX	ENSG00000186153
WWTR1	ENSG00000018408
XPA	ENSG00000136936
XPC	ENSG00000154767
XPO1	ENSG00000082898
XRCC1	ENSG00000073050
XRCC2	ENSG00000196584
XRCC3	ENSG00000126215
XRN1	ENSG00000114127
YBX1	ENSG00000065978
YBX3	ENSG00000060138
YWHAE	ENSG00000108953
ZBTB10	ENSG00000205189
ZBTB16	ENSG00000109906
ZBTB20	ENSG00000181722
ZBTB7B	ENSG00000160685
ZC3H11A	ENSG00000058673
ZCCHC8	ENSG00000033030
ZEB1	ENSG00000148516
ZFHX3	ENSG00000140836
ZFP36L1	ENSG00000185650
ZFP36L2	ENSG00000152518
ZFX	ENSG00000005889
ZIM3	ENSG00000141946
ZMIZ1	ENSG00000108175
ZMYM2	ENSG00000121741
ZMYM3	ENSG00000147130
ZNF217	ENSG00000171940
ZNF292	ENSG00000188994
ZNF331	ENSG00000130844
ZNF384	ENSG00000126746
ZNF429	ENSG00000197013
ZNF479	ENSG00000185177
ZNF521	ENSG00000198795
ZNF638	ENSG00000075292
ZNF703	ENSG00000183779
ZNF750	ENSG00000141579
ZNF814	ENSG00000204514
ZNRF3	ENSG00000183579
ZRSR2	ENSG00000169249
